0.5 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.501 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.502 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.503 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.504 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.505 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.506 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.507 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.508 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.509 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.51 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.511 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.512 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.513 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.514 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.515 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.516 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.517 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.518 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.519 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.52 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.521 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.522 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.523 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.524 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.525 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.526 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.527 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.528 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.529 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.53 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.531 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.532 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.533 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.534 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.535 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.536 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.537 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.538 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.539 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.54 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.541 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.542 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.543 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.544 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.545 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.546 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.547 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.548 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.549 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.55 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.551 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.552 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.553 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.554 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.555 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.556 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.557 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.558 No. of Outliers: 119, Clusters : 0, Silhoutte -2
0.559 No. of Outliers: 119, Clusters : 0, Silhoutte -2
